Feature,Importance
bp_ratio,0.0934309503973884
bmi_age,0.09279258307007908
cholesterol_bp,0.08964289010556074
sysBP,0.08776651897640891
BMI,0.08399653622345675
glucose,0.08252525238032325
totChol,0.08176183115012173
diaBP,0.07925396407025949
heartRate,0.06724231204058331
age_squared,0.06384342665285582
age,0.058501238178234986
cigsPerDay,0.03830399790789043
education,0.026341320889994822
male,0.016930708037583224
prevalentHyp,0.014488998744667358
currentSmoker,0.01010204528122828
BPMeds,0.0054325245027149445
diabetes,0.005219202303312172
prevalentStroke,0.002423699087336314
